title,genres,original_language,popularity,production_companies,release_year,runtime,vote_average,vote_count,pc_impact,pcif,gif,pop_actor,success_pot
Parts Per Billion,Science Fiction,en,0.7383,xyz,2014,1.7037037037037033,4.3,0.1715276968684868,0.006033011764705882,low,high,True,high
Curdled,Comedy,en,0.7382,miramax,1996,0.9629629629629628,5.858,0.307455306,0.4651581044827586,low,high,True,low
Bling,Family,en,0.7373999999999999,unknown,2016,0.44444444444444464,6.1,0.093854778,0.312982092,low,medium,True,low
Bummer,Crime,ru,0.7373000000000001,ctb,2003,2.5925925925925917,6.3,0.3204007922637772,0.011913946666666668,low,medium,False,medium
Dinner at Eight,Comedy,en,0.7371000000000001,metro-goldwyn-mayer,1933,2.666666666666666,6.7,0.2783279609564125,1.0234533082758621,medium,high,True,medium
Your Friends & Neighbors,Drama,en,0.7367,polygramed,1998,1.8518518518518512,6.0,0.2038914132587673,0.507223524117647,low,high,True,low
Intermission,Comedy,en,0.7365,uk council,2003,2.2222222222222223,6.2,0.3980737116004504,0.23842874583333334,low,high,True,low
Party Monster,Comedy,en,0.736,unknown,2003,1.7037037037037033,5.9,0.4822193742151798,0.312982092,low,high,True,low
Jism 2,Thriller,hi,0.736,clockwork,2012,4.222222222222221,4.4,0.067963804,0.27238354000000004,low,medium,False,high
Jagga Jasoos,multiple,hi,0.7359,walt disney,2017,7.777777777777777,6.1,0.2427278729271039,2.4675621212941174,high,low,False,low
Rangeela,Drama,hi,0.7357,unknown,1995,7.4074074074074066,6.9,0.1747640685075148,0.312982092,low,high,False,high
The Man From Snowy River II,multiple,en,0.7356,walt disney,1988,2.5925925925925917,6.8,0.1165093790050099,2.4675621212941174,high,low,False,low
Yellowbird,Animation,en,0.7354,haut et court,2014,1.1111111111111107,5.0,0.1618185819514026,0.027956531,low,medium,True,low
Restless,Drama,en,0.7353,columbia,2011,1.1851851851851851,6.5,1.171566533328155,1.650344178225256,high,high,True,low
Conversations with Other Women,Drama,en,0.7352000000000001,gordonstreet,2006,0.6666666666666661,6.4,0.3883645966833663,0.01297745,low,high,True,low
A Blood Pledge,Horror,ko,0.735,lotte,2009,0.9629629629629628,5.4,0.1359276088391782,0.24519522,low,high,False,high
Nadine,Action,en,0.7349,tri-star,1987,0.5925925925925926,5.4,0.2200732714539076,0.7071363171641791,low,high,True,low
Ghost in the Machine,Science Fiction,en,0.7344999999999999,20th century fox,1993,2.148148148148148,4.6,0.184473183,2.346507158347826,high,high,False,low
Screwed,Action,en,0.7342,universal,2000,0.44444444444444464,5.6,0.2168368998148795,1.5666978714723927,high,high,True,low
Sharky's Machine,multiple,en,0.734,warner bros,1981,3.481481481481481,6.1,0.2427278729271039,1.6886122643533121,high,low,True,medium
Delirious,Fantasy,en,0.7338,metro-goldwyn-mayer,1991,1.5555555555555554,5.58,0.2848007042344686,1.0234533082758621,medium,medium,True,low
The Greatest,Drama,en,0.7329,silverwood,2009,1.7777777777777777,6.184,0.430437427990731,0.0721404425,low,high,True,low
Godzilla vs. SpaceGodzilla,Action,ja,0.7323999999999999,toho co,1994,2.4444444444444446,6.6,0.5145830906054604,0.7190853366666667,low,high,False,low
Blue Car,Drama,en,0.7323999999999999,miramax,2003,1.2592592592592595,6.4,0.1359276088391782,0.4651581044827586,low,high,True,low
I Can Quit Whenever I Want,Comedy,es,0.7323000000000001,telecinco cinema,2019,1.7037037037037033,6.2,0.4660375160200396,0.36256502818181824,low,high,False,medium
High Anxiety,Comedy,en,0.7321,unknown,1977,1.4074074074074074,6.4,0.8932385723717425,0.312982092,low,high,True,high
Midnight Sun,Family,en,0.7321,hyde park,2014,1.7037037037037033,6.1,0.2136005281758514,0.24909188649999997,low,medium,False,low
A Home of Our Own,Comedy,en,0.7314,polygramed,1993,2.148148148148148,6.698,0.187709555063627,0.507223524117647,low,high,True,low
Al Capone,multiple,en,0.7313,allied artists,1959,2.148148148148148,6.6,0.1359276088391782,0.0,low,low,True,medium
Orlando,Drama,en,0.7313,sigma,1992,1.1111111111111107,7.0,0.8058565381179851,0.0036627359999999998,low,high,True,low
Secret Zoo,Comedy,ko,0.7312000000000001,central,2020,3.1111111111111107,6.2,0.1424003521172343,0.6606060600000001,low,high,False,low
Gangs of Wasseypur - Part 1,Action,hi,0.731,jar,2012,6.296296296296296,7.2,0.919129545,0.0,low,high,False,medium
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,Comedy,en,0.7304999999999999,universal,1953,0.0740740740740744,6.5,0.2006550416197392,1.5666978714723927,high,high,True,high
Gone Fishin',Comedy,en,0.7302,hollywood,1997,1.4074074074074074,4.8,0.4272010563517029,0.974196573,medium,high,True,low
Sarfarosh,Action,hi,0.7301,unknown,1999,7.333333333333332,7.0,0.2427278729271039,0.312982092,low,high,False,low
Soul Survivors,Horror,en,0.73,original,2001,0.6666666666666661,4.6,0.4822193742151798,2.34685149475,high,high,True,low
Dil Chahta Hai,Drama,hi,0.7296,excel,2001,8.0,7.0,0.737892734,0.036726291818181815,low,high,False,medium
Hawaii,Drama,en,0.7296,united artists,1966,8.444444444444445,6.5,0.122982122,0.8990610927777777,low,high,True,medium
The Cookout,Comedy,en,0.7293999999999999,unknown,2004,1.6296296296296298,5.167,0.097091149,0.312982092,low,high,True,low
Boogie Woogie,Comedy,en,0.7289,piccadilly,2009,1.4074074074074074,5.1,0.2233096430929356,0.015694533125,low,high,True,low
Turning Tide,Adventure,fr,0.7287,gaumont,2013,1.6296296296296298,6.3,0.6310924696104703,0.25573939476190477,low,high,False,high
Paradise Road,War,en,0.7287,village roadshow,1997,3.481481481481481,6.6,0.2136005281758514,1.6844715285227272,high,low,True,low
Highway to Hell,multiple,en,0.7285999999999999,hemdale oration,1991,1.4074074074074074,6.0,0.2653824744003003,0.44005435,low,low,True,low
The River,Drama,en,0.7283999999999999,universal,1984,3.481481481481481,6.287,0.3268735355418333,1.5666978714723927,high,high,True,low
Mr. 3000,Comedy,en,0.728,touchstone,2004,2.148148148148148,5.3,0.4628011443810115,1.2053670535714285,medium,high,True,low
Firestorm,Action,en,0.7276,20th century fox,1998,1.0370370370370372,5.1,0.1553458386733465,2.346507158347826,high,high,True,low
Kingdom of the Spiders,Horror,en,0.7273,unknown,1977,1.6296296296296298,5.5,0.3139280489857211,0.312982092,low,high,True,high
Taras Bulba,multiple,en,0.7273,united artists,1962,3.2592592592592595,6.4,0.187709555063627,0.8990610927777777,low,low,True,low
Mississippi Mermaid,multiple,fr,0.7273,unknown,1969,3.5555555555555554,6.6,0.5242922055225445,0.312982092,low,low,True,high
The Black Balloon,Drama,en,0.7272000000000001,unknown,2008,1.6296296296296298,6.8,0.2103641565368234,0.312982092,low,high,True,low
Hamlet,Drama,en,0.727,miramax,2000,2.7407407407407405,5.8,0.3560008802930858,0.4651581044827586,low,high,True,low
Gold,multiple,es,0.7264,icaa,2017,2.0740740740740735,5.6,0.5145830906054604,0.01629950375,low,low,False,low
The Yellow Handkerchief,Drama,en,0.726,unknown,2009,2.0,6.2,0.3916009683223944,0.312982092,low,high,True,low
1½ Knights - In Search of the Ravishing Princess Herzelinde,Adventure,de,0.726,warner bros,2008,3.0370370370370363,4.4,0.3333462788198894,1.6886122643533121,high,high,False,low
Hurricane Season,Drama,en,0.7256,dimension,2009,2.0740740740740735,6.891,0.1488730953952904,0.5459469046875001,low,high,True,low
I Smile Back,Drama,en,0.725,egoli tossell,2015,0.7407407407407405,6.1,0.3171644206247491,0.06158337125,low,high,False,low
Living in Oblivion,Comedy,en,0.7249,unknown,1995,1.0370370370370372,7.171,0.7281836187813119,0.312982092,low,high,True,low
Blue in the Face,Comedy,en,0.7245,miramax,1995,0.5925925925925926,6.7,0.4110191981565627,0.4651581044827586,low,high,True,low
The Penguins of Madagascar: Operation Antarctica,Comedy,en,0.7243999999999999,unknown,2012,1.333333333333333,6.3,0.0291273447512524,0.312982092,low,high,False,low
Befikre,Romance,hi,0.7243999999999999,yash raj,2016,4.222222222222221,5.2,0.1488730953952904,0.20673510571428572,low,medium,False,low
Prison,Crime,en,0.724,empire,1987,2.0,5.8,0.310691677346693,0.0,low,medium,True,low
Dil Dhadakne Do,Drama,hi,0.7237,excel,2015,7.037037037037036,6.9,0.3624736235711419,0.036726291818181815,low,high,True,low
MirrorMask,Fantasy,en,0.7236,destination,2005,1.9259259259259256,6.5,0.9126568022059108,0.035064943333333334,low,medium,False,low
Hardware,Science Fiction,en,0.7234,british screen,1990,1.333333333333333,5.961,0.7508382202545082,0.0173195,low,high,False,high
This Island Earth,Science Fiction,en,0.7232999999999999,universal,1955,0.8888888888888884,6.0,0.5793105233860214,1.5666978714723927,high,high,False,medium
Admiral,War,ru,0.7232000000000001,unknown,2008,3.5555555555555554,6.319,0.3398190220979455,0.312982092,low,low,False,high
Cemetery of Splendor,Drama,th,0.7224999999999999,cnc,2015,3.481481481481481,5.7,0.4369101712687871,0.024233516481481483,low,high,False,low
FRED: The Movie,multiple,en,0.7224999999999999,the collective,2010,0.5925925925925926,4.7,0.4401465429078152,0.009626645,low,low,False,low
To Be or Not to Be,Comedy,en,0.7222000000000001,20th century fox,1983,2.3703703703703702,6.8,0.5728377801079654,2.346507158347826,high,high,True,low
Gun Shy,multiple,en,0.7221,hollywood,2000,1.9259259259259256,5.3,0.3560008802930858,0.974196573,medium,low,True,low
The New Adventures of Pippi Longstocking,Fantasy,en,0.7219,columbia,1988,1.8518518518518512,5.8,0.2038914132587673,1.650344178225256,high,medium,False,low
She Done Him Wrong,Comedy,en,0.7214,paramount,1933,0.0,5.9,0.2750915893173845,1.516934121304348,high,high,True,medium
Atlas Shrugged: Part III,Drama,en,0.7202,atlas distribution,2014,1.7777777777777777,4.2,0.1812368117855709,0.006610225,low,high,False,low
Another Thin Man,multiple,en,0.72,metro-goldwyn-mayer,1939,2.0740740740740735,7.1,0.2750915893173845,1.0234533082758621,medium,low,True,medium
Mohenjo Daro,multiple,hi,0.7196,utv motion,2016,5.925925925925926,6.4,0.2136005281758514,0.11343533538461538,low,low,False,low
The Black Cat,Horror,en,0.7192999999999999,universal,1934,0.0,6.814,0.6861107874739472,1.5666978714723927,high,high,True,low
Slumber Party Massacre III,Horror,en,0.7191,unknown,1990,0.8888888888888884,5.1,0.2330187580100198,0.312982092,low,high,False,low
The King and I,Animation,en,0.7188,warner bros,1999,0.8888888888888884,5.5,0.2880370758734967,1.6886122643533121,high,medium,True,low
One from the Heart,Drama,en,0.7182000000000001,american zoetrope,1982,2.3703703703703702,5.6,0.3916009683223944,0.4435302876190476,low,high,True,low
Dev.D,Comedy,hi,0.7182000000000001,utv motion,2009,5.111111111111111,6.9,0.3204007922637772,0.11343533538461538,low,high,False,high
Life During Wartime,Comedy,en,0.7172,werc werk works,2009,1.6296296296296298,6.2,0.3301099071808613,0.006058933333333334,low,high,True,low
Algiers,multiple,en,0.7171000000000001,united artists,1938,1.5555555555555554,6.552,0.093854778,0.8990610927777777,low,low,False,low
Ben Is Back,Drama,en,0.7161,black bear,2018,2.0740740740740735,6.7,2.686188460393284,0.13979094214285714,low,high,True,low
The Meddler,Comedy,en,0.7161,anonymous content,2016,1.8518518518518512,5.9,0.9644387484303596,0.23426553979166667,low,high,True,low
Trapeze,Drama,en,0.7157,unknown,1956,2.2222222222222223,6.4,0.2394915012880759,0.312982092,low,high,True,high
White God,Drama,hu,0.7156,proton cinema,2014,3.4074074074074066,6.6,0.9029476872888268,0.005688726666666666,low,high,False,low
Fathers' Day,Comedy,en,0.7148,warner bros,1997,1.7777777777777777,5.5,0.7799655650057608,1.6886122643533121,high,high,True,low
The Brice Man,Comedy,fr,0.7148,m6,2005,1.7037037037037033,5.5,3.4920449985112687,0.9570096115384616,medium,high,True,high
Mr. Nanny,Family,en,0.7144999999999999,new line cinema,1993,0.6666666666666661,5.119,0.5016376040493482,1.2639715592307692,medium,medium,False,low
Carolina,Comedy,en,0.7144999999999999,iac,2003,1.6296296296296298,5.7,0.2006550416197392,0.2994140742857143,low,high,True,low
Sivaji: The Boss,Action,ta,0.7142999999999999,unknown,2007,8.444444444444445,7.1,0.307455306,0.312982092,low,high,False,low
Ittefaq,Crime,hi,0.714,dharma,2017,2.3703703703703702,7.0,0.2297823863709917,0.26167131187500003,low,medium,False,low
The Heiress,Drama,en,0.714,paramount,1949,2.962962962962962,7.7,0.6505106994446386,1.516934121304348,high,high,True,low
Baby Face,Drama,en,0.7131000000000001,warner bros,1933,0.0740740740740744,7.3,0.2880370758734967,1.6886122643533121,high,high,True,low
Loose Cannons,Comedy,it,0.7129,rai cinema,2010,2.4444444444444446,7.326,2.3042966069879736,0.03402235745762712,low,high,False,low
Saathiya,Romance,hi,0.7129,yash raj,2002,5.037037037037036,6.0,0.1359276088391782,0.20673510571428572,low,medium,True,high
Flesh and the Devil,Drama,en,0.7123999999999999,metro-goldwyn-mayer,1926,2.7407407407407405,7.4,0.1521094670343185,1.0234533082758621,medium,high,True,low
What Men Talk About,Comedy,ru,0.7123999999999999,unknown,2010,1.333333333333333,7.4,0.4401465429078152,0.312982092,low,high,False,high
Queen,Comedy,hi,0.7117,viacom 18,2014,5.2592592592592595,7.4,0.7249472471422838,0.041143349999999995,low,high,False,high
Stung,Horror,en,0.7110000000000001,xyz,2015,0.8888888888888884,5.3,0.5372376920786568,0.006033011764705882,low,high,True,low
Tarnation,Documentary,en,0.7093,unknown,2003,1.1851851851851851,6.9,0.2136005281758514,0.312982092,low,medium,False,low
The Conspirator,Crime,en,0.709,wildwood enterprises,2010,3.481481481481481,6.6,1.2492394526648285,0.1729535575,low,medium,True,low
The Bolshoi,Drama,ru,0.709,unknown,2016,4.222222222222221,6.7,0.1391639804782062,0.312982092,low,high,False,low
